Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
427;Berlin Brandenburg;TGK;01.01.1957;07.05.2023;30;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;PM;01.01.1957;07.05.2023;3;Gesamt_Messzeitraum;eor;                                                                                                                              
427;Berlin Brandenburg;FM;01.01.1957;07.05.2023;165;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;FX;01.01.1957;07.05.2023;478;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;UPM;01.01.1957;07.05.2023;33;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;VPM;01.01.1957;07.05.2023;33;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;NM;01.01.1957;30.07.2022;26;Gesamt_Messzeitraum;eor;                                                                                                                             
427;Berlin Brandenburg;SDK;01.01.1957;07.05.2023;21;Gesamt_Messzeitraum;eor;                                                                                                                            
427;Berlin Brandenburg;RSK;01.01.1957;07.05.2023;1;Gesamt_Messzeitraum;eor;                                                                                                                             
427;Berlin Brandenburg;RSKF;01.01.1957;07.05.2023;1;Gesamt_Messzeitraum;eor;                                                                                                                            
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
427;Berlin Brandenburg;TGK;01.11.1966;30.11.1966;30;;eor;                                                                                                                                               
427;Berlin Brandenburg;FM;11.11.1991;12.11.1991;2;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;16.11.1991;22.11.1991;7;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;16.01.1992;20.01.1992;5;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;29.01.1992;31.01.1992;3;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;12.02.1992;18.02.1992;7;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;15.04.1992;18.04.1992;4;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;27.04.1992;09.05.1992;13;;eor;                                                                                                                                                
427;Berlin Brandenburg;FM;30.05.1992;03.06.1992;5;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;05.06.1992;11.06.1992;7;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;30.07.1992;08.08.1992;10;;eor;                                                                                                                                                
427;Berlin Brandenburg;FM;29.08.1992;06.09.1992;9;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;08.09.1992;09.09.1992;2;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;23.09.1992;06.10.1992;14;;eor;                                                                                                                                                
427;Berlin Brandenburg;FM;20.10.1992;02.11.1992;14;;eor;                                                                                                                                                
427;Berlin Brandenburg;FM;24.11.1992;27.11.1992;4;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;04.01.1993;08.01.1993;5;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;15.01.1993;20.01.1993;6;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;22.01.1993;27.01.1993;6;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;02.04.1993;07.04.1993;6;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;22.04.1993;27.04.1993;6;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;29.04.1993;03.05.1993;5;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;17.05.1993;22.05.1993;6;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;22.06.2002;22.06.2002;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;21.07.2004;21.07.2004;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;27.11.2008;27.11.2008;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;21.10.2009;22.10.2009;2;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;15.05.2013;16.05.2013;2;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;01.12.2015;01.12.2015;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;04.12.2015;04.12.2015;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;06.12.2015;08.12.2015;3;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;10.12.2015;11.12.2015;2;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;03.11.2016;03.11.2016;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FM;11.05.2022;11.05.2022;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;07.01.1973;07.01.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;09.01.1973;09.01.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;12.01.1973;12.01.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;19.01.1973;19.01.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;24.01.1973;24.01.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;15.02.1973;15.02.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;04.03.1973;04.03.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;10.03.1973;10.03.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;17.05.1973;17.05.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;04.06.1973;04.06.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;30.07.1973;30.07.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;11.08.1973;11.08.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;19.08.1973;19.08.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;23.08.1973;23.08.1973;1;;eor;                                                                                                                                                 
427;Berlin Brandenburg;FX;28.08.1973;28.08.1973;1;;eor;                                                                                                                                                 
